contrastive_loss,nupdates,value_loss,explained_variance,reconstruct_loss,policy_loss,atten_decoder_loss,policy_entropy,fps,atten_encoder_loss,total_timesteps,ep_len_mean,ep_reward_mean,fps_eval,explained_variance_eval,total_timesteps_eval,ep_len_mean_eval,ep_reward_mean_eval
1.9990673065185547,1,0.06270340085029602,0.0011203289031982422,0.017331693321466446,0.057872749865055084,0.0004044589586555958,1.3845272064208984,261,0.001379887224175036,1870080,178.12,1.28,,,,,
1.9997382164001465,500,0.0044389753602445126,-0.012437820434570312,0.01746821403503418,-0.048842061311006546,0.00037690281169489026,1.3855377435684204,279,0.0004638671816792339,1910000,183.2,1.41,,,,,
1.998740315437317,1000,0.005909820087254047,-0.005209684371948242,0.017435263842344284,-0.040790118277072906,0.00034477183362469077,1.3837976455688477,275,0.0013989454600960016,1950000,181.43,1.38,,,,,
,,,,,,,,,,,,,445,0.0013522505760192871,1970080,184.87,1.41
2.00114107131958,1,0.0006231752340681851,-0.050387024879455566,0.017527183517813683,-0.0159464031457901,0.0003289991873316467,1.3845162391662598,257,0.0023256181739270687,1980080,181.08,1.38,,,,,
2.0009446144104004,500,0.002306165639311075,-0.0032558441162109375,0.017412735149264336,-0.02231270633637905,0.00037389667704701424,1.3731685876846313,251,0.0,2020000,183.77,1.41,,,,,
1.9978435039520264,1000,0.06314601004123688,0.001233220100402832,0.017346814274787903,0.05763865262269974,0.00037335598608478904,1.3800344467163086,248,0.00187036267016083,2060000,190.62,1.6,,,,,
,,,,,,,,,,,,,440,1.2755393981933594e-05,2080080,175.1,1.12
1.9997237920761108,1,0.0316615030169487,-0.000754237174987793,0.017457807436585426,-0.01759573630988598,0.00033419037936255336,1.3841995000839233,245,0.0009546602377668023,2090080,195.53,1.74,,,,,
1.997962474822998,500,2.4427767129964195e-05,0.0011821985244750977,0.017320280894637108,-0.006132722832262516,0.0003157331666443497,1.384866714477539,278,0.0023590479977428913,2130000,180.39,1.33,,,,,
2.000248908996582,1000,0.0016464138170704246,-0.0038733482360839844,0.017581993713974953,-0.02230028063058853,0.00033059637644328177,1.3818072080612183,282,0.0004620486870408058,2170000,191.2,1.59,,,,,
,,,,,,,,,,,,,456,-0.007362842559814453,2190080,178.2,1.26
1.9951353073120117,1,0.06603720039129257,0.0,0.017003754153847694,0.04075814411044121,0.0003104198258370161,1.381880760192871,300,0.0018342406256124377,2200080,178.41,1.25,,,,,
2.0009045600891113,500,0.0003287459840066731,-0.007130146026611328,0.017467772588133812,-0.008198749274015427,0.00036962685408070683,1.3850568532943726,285,0.0013886260567232966,2240000,185.99,1.44,,,,,
1.9967553615570068,1000,0.07095060497522354,0.0014017820358276367,0.01725831814110279,0.08803484588861465,0.00040220384835265577,1.3861829042434692,286,0.0009331844630651176,2280000,189.67,1.57,,,,,
,,,,,,,,,,,,,428,-0.005469083786010742,2300080,185.2,1.48
1.9967851638793945,1,0.012558544054627419,-0.003917574882507324,0.017270557582378387,-0.05910094454884529,0.00034206389682367444,1.3803502321243286,290,0.001412118086591363,2310080,178.85,1.35,,,,,
1.9973585605621338,500,7.349903171416372e-05,0.015589654445648193,0.017355402931571007,-0.010651183314621449,0.0003525642096064985,1.3817955255508423,280,0.0009225053945556283,2350000,177.73,1.27,,,,,
1.997359275817871,1000,0.08418857306241989,0.0010905265808105469,0.017185168340802193,0.10649500042200089,0.00032302053296007216,1.3678038120269775,280,0.0009109688107855618,2390000,187.21,1.53,,,,,
,,,,,,,,,,,,,403,-0.009608745574951172,2410080,188.07,1.51
1.9974496364593506,1,0.06138826534152031,0.00039267539978027344,0.017208091914653778,0.06399611383676529,0.0003806025779340416,1.378318428993225,262,0.0014106709277257323,2420080,172.61,1.2,,,,,
1.9984362125396729,500,0.01566840335726738,-0.002309441566467285,0.017269747331738472,-0.07336653769016266,0.00035999054671265185,1.3811273574829102,280,0.0008962534484453499,2460000,184.92,1.5,,,,,
1.9992437362670898,1000,0.011882265098392963,-0.0037012100219726562,0.017403265461325645,-0.06030192971229553,0.00035211173235438764,1.3789050579071045,281,0.0018602436175569892,2500000,181.44,1.44,,,,,
,,,,,,,,,,,,,423,0.0007515549659729004,2520080,184.91,1.39
1.9988155364990234,1,0.07644278556108475,0.0006388425827026367,0.017437903210520744,0.06901830434799194,0.000363843806553632,1.3828189373016357,285,0.0027725722175091505,2530080,177.65,1.23,,,,,
1.9992454051971436,500,0.025856321677565575,0.00045996904373168945,0.0174358319491148,0.01675313524901867,0.00029338066815398633,1.3855278491973877,274,0.0013855848228558898,2570000,178.16,1.22,,,,,
1.9977164268493652,1000,0.059897780418395996,0.0014761686325073242,0.0173718873411417,0.0695059522986412,0.0003559550386853516,1.3658338785171509,274,0.0036931466311216354,2610000,175.73,1.17,,,,,
,,,,,,,,,,,,,434,-0.02527451515197754,2630080,188.78,1.53
1.99813711643219,1,9.348545427201316e-05,-0.06842410564422607,0.01737779751420021,-0.0038152181077748537,0.000431388703873381,1.3781921863555908,274,0.0032599715050309896,2640080,171.89,1.13,,,,,
1.9975379705429077,500,0.002929863752797246,-0.006633162498474121,0.017316242679953575,-0.02395324409008026,0.0003526443615555763,1.3827354907989502,279,0.0009315905044786632,2680000,174.97,1.23,,,,,
1.9997477531433105,1000,0.004921802319586277,-0.00584566593170166,0.017343828454613686,-0.033985380083322525,0.0004221014678478241,1.3835337162017822,279,0.001389867626130581,2720000,187.41,1.5,,,,,
,,,,,,,,,,,,,396,-0.017188429832458496,2740080,171.57,1.13
1.9964361190795898,1,0.02488105557858944,0.0014306306838989258,0.01738855615258217,0.025733819231390953,0.00035816393210552633,1.384290099143982,307,0.0023046971764415503,2750080,181.18,1.37,,,,,
1.9986628293991089,500,0.09771089255809784,0.0011457204818725586,0.017347104847431183,0.11690087616443634,0.0002846283314283937,1.3838974237442017,282,0.00046017635031603277,2790000,182.32,1.44,,,,,
1.9981436729431152,1000,0.011858435347676277,-0.004316210746765137,0.017385952174663544,-0.06324605643749237,0.00037404842441901565,1.3794894218444824,283,0.001410196302458644,2830000,201.97,1.89,,,,,
,,,,,,,,,,,,,374,0.0005678534507751465,2850080,166.24,1.03
1.9987776279449463,1,0.015507305972278118,-0.0006258487701416016,0.0172982607036829,-0.016170132905244827,0.0003876232949551195,1.3823860883712769,279,0.0018600242910906672,2860080,177.83,1.3,,,,,
1.998295545578003,500,0.002295513404533267,-0.004964947700500488,0.017442187294363976,-0.025249481201171875,0.00045373436296358705,1.3852274417877197,275,0.0013762571616098285,2900000,188.84,1.58,,,,,
1.9986021518707275,1000,0.0009993774583563209,-0.012192726135253906,0.01732858270406723,-0.01679716259241104,0.00042135920375585556,1.385596513748169,275,0.005127576179802418,2940000,174.53,1.2,,,,,
,,,,,,,,,,,,,448,-0.01428687572479248,2960080,175.86,1.26
1.9946597814559937,1,0.014110262505710125,0.00045669078826904297,0.01715044304728508,-0.002311462303623557,0.00042531019425950944,1.3852027654647827,280,0.0014060251414775848,2970080,195.04,1.68,,,,,
1.9993361234664917,500,0.01226557046175003,0.0007333159446716309,0.01738445833325386,0.00822108332067728,0.0003990400582551956,1.384498953819275,283,0.0009013597737066448,3010000,185.53,1.46,,,,,
1.9965131282806396,1000,0.002826600568369031,-0.014485478401184082,0.017203394323587418,-0.026836667209863663,0.00034114436130039394,1.3834296464920044,283,0.00236601778306067,3050000,185.09,1.41,,,,,
,,,,,,,,,,,,,457,-0.0014342069625854492,3070080,192.14,1.65
2.0008580684661865,1,0.0025462345220148563,-0.01009070873260498,0.01751808635890484,-0.02562686800956726,0.00035265175392851233,1.3847774267196655,277,0.0027808439917862415,3080080,186.87,1.47,,,,,
1.9971365928649902,500,0.004277502652257681,-0.010589241981506348,0.01715688221156597,-0.03199082612991333,0.00038955401396378875,1.3805522918701172,284,0.0004663425497710705,3120000,187.56,1.55,,,,,
1.9968266487121582,1000,0.003801149781793356,-0.007763862609863281,0.017398037016391754,-0.02984776720404625,0.00037481769686564803,1.3786351680755615,283,0.0014156120596453547,3160000,196.49,1.7,,,,,
,,,,,,,,,,,,,451,-0.007154583930969238,3180080,194.89,1.7
1.9974037408828735,1,0.06159624457359314,0.0014127492904663086,0.01711467280983925,0.06274015456438065,0.0003774520009756088,1.3857494592666626,268,0.0022989287972450256,3190080,190.61,1.56,,,,,
1.9972472190856934,500,0.0014263895573094487,-0.002623438835144043,0.01731940731406212,-0.018623629584908485,0.000394789210986346,1.3831682205200195,276,0.0009446254116483033,3230000,191.31,1.61,,,,,
1.998133659362793,1000,0.060610331594944,0.0011190176010131836,0.01737941987812519,0.06674514710903168,0.00043604211532510817,1.3799312114715576,277,0.0004636113008018583,3270000,172.69,1.11,,,,,
,,,,,,,,,,,,,437,-0.0012935400009155273,3290080,191.6,1.61
1.999650478363037,1,0.007417282555252314,-0.001777052879333496,0.017490195110440254,-0.04705917462706566,0.00039501924766227603,1.3810224533081055,264,0.0018299553776159883,3300080,175.97,1.24,,,,,
1.9966661930084229,500,0.0022518299520015717,-0.006135106086730957,0.017261968925595284,-0.02202429808676243,0.0004316417034715414,1.3798319101333618,274,0.0018593326676636934,3340000,183.68,1.46,,,,,
1.9944262504577637,1000,0.029881667345762253,0.00019812583923339844,0.01712072640657425,-0.00413953373208642,0.0003567671519704163,1.3767298460006714,273,0.0009445980540476739,3380000,171.72,1.16,,,,,
,,,,,,,,,,,,,452,0.0005639791488647461,3400080,189.44,1.58
1.9983304738998413,1,0.09307484328746796,0.0009618401527404785,0.0173951368778944,0.05238158255815506,0.00040253801853396,1.385445237159729,243,0.0018238419434055686,3410080,195.55,1.69,,,,,
1.9986441135406494,500,0.04001897573471069,0.0005463957786560059,0.017382893711328506,0.018659740686416626,0.0004010341945104301,1.3826713562011719,273,0.003185475245118141,3450000,169.2,1.03,,,,,
1.9950448274612427,1000,0.01342163234949112,0.00023132562637329102,0.01724437065422535,0.0016794037073850632,0.0003874920657835901,1.3812707662582397,273,0.0009276295313611627,3490000,182.47,1.4,,,,,
,,,,,,,,,,,,,403,-0.0020612478256225586,3510080,181.92,1.37
1.9974279403686523,1,0.0035602666903287172,-0.0032606124877929688,0.017386989668011665,-0.033165302127599716,0.00039293276495300233,1.3803818225860596,301,0.0023171056527644396,3520080,169.08,1.07,,,,,
1.9981763362884521,500,0.005092496983706951,-0.006213665008544922,0.01736452244222164,-0.03846590220928192,0.0003564252401702106,1.3853553533554077,280,0.0013949660351499915,3560000,171.56,1.13,,,,,
1.9945623874664307,1000,0.01867550238966942,-0.001447439193725586,0.01727301999926567,-0.02418953739106655,0.00036424596328288317,1.3825633525848389,281,0.0018417189130559564,3600000,194.78,1.63,,,,,
,,,,,,,,,,,,,393,-0.0020066499710083008,3620080,169.44,1.09
1.9993789196014404,1,0.07497699558734894,0.0006977319717407227,0.01752958819270134,0.07642338424921036,0.00032323546474799514,1.3839762210845947,303,0.0018645277014002204,3630080,174.36,1.13,,,,,
1.9974937438964844,500,0.0018557319417595863,-0.003171086311340332,0.01729528233408928,-0.02097279205918312,0.00044640511623583734,1.3843896389007568,284,0.0009245362016372383,3670000,181.4,1.41,,,,,
1.9973790645599365,1000,0.0038088324945420027,-0.016174674034118652,0.017354439944028854,-0.03596673160791397,0.0003738627419807017,1.3829147815704346,283,0.0018604312790557742,3710000,195.44,1.82,,,,,
,,,,,,,,,,,,,424,0.0009385347366333008,3730080,180.85,1.38
1.9950966835021973,1,0.0023798965848982334,-0.004001021385192871,0.016974832862615585,-0.022488083690404892,0.00034891077666543424,1.3852410316467285,276,0.0009295732597820461,3740080,181.89,1.27,,,,,
1.9949082136154175,500,0.04957462102174759,0.0013472437858581543,0.017306821420788765,0.046536754816770554,0.0003754627541638911,1.3845001459121704,281,0.0013496523024514318,3780000,190.48,1.68,,,,,
1.9976999759674072,1000,0.02704990841448307,-0.001596212387084961,0.017390847206115723,-0.10540374368429184,0.000404661288484931,1.3846397399902344,282,0.0014095066580921412,3820000,195.38,1.72,,,,,
,,,,,,,,,,,,,414,-0.023311376571655273,3840080,190.26,1.6
1.9989770650863647,1,0.03692706674337387,0.0009587407112121582,0.017465876415371895,0.0401347316801548,0.0003932368417736143,1.3826885223388672,272,0.00046542505151592195,3850080,177.2,1.27,,,,,
1.998337984085083,500,0.0267997644841671,0.00040030479431152344,0.017325639724731445,0.012836003676056862,0.0003177073667757213,1.3830418586730957,282,0.00046486800420098007,3890000,179.83,1.34,,,,,
2.0002808570861816,1000,0.00019075634190812707,-0.021744847297668457,0.017517896369099617,-0.0061235586181283,0.00041856392635963857,1.3847053050994873,282,0.003214362310245633,3930000,173.55,1.16,,,,,
,,,,,,,,,,,,,481,-0.002835512161254883,3950080,189.19,1.55
1.9973645210266113,1,0.07854190468788147,0.0005723834037780762,0.017421500757336617,0.05602440983057022,0.0003767024609260261,1.3849331140518188,288,0.0009310389286838472,3960080,181.35,1.37,,,,,
2.000443458557129,500,4.8225338105112314e-05,-0.00010192394256591797,0.01749485172331333,-0.008689502254128456,0.0003719814703799784,1.3856022357940674,288,0.005317382980138063,4000000,205.63,1.96,,,,,
2.0002219676971436,1000,0.006830460391938686,0.0,0.017557738348841667,-0.04485590383410454,0.00032568519236519933,1.3817086219787598,289,0.0,4040000,183.71,1.39,,,,,
,,,,,,,,,,,,,453,0.0,4060080,176.49,1.23
2.000328540802002,1,0.03652339428663254,0.0,0.017326608300209045,0.040788255631923676,0.0004248384793754667,1.382484793663025,307,0.0014501953264698386,4070080,177.7,1.27,,,,,
1.99983549118042,500,0.00010175183706451207,-0.0002995729446411133,0.017506498843431473,-0.012809823267161846,0.0003964445204474032,1.3836348056793213,287,0.0,4110000,173.8,1.17,,,,,
1.9997992515563965,1000,0.011373085901141167,-1.1920928955078125e-07,0.01717125065624714,-0.05991678312420845,0.0003675800107885152,1.3783819675445557,286,0.0,4150000,165.64,0.99,,,,,
,,,,,,,,,,,,,402,2.980232238769531e-07,4170080,180.52,1.33
2.0,1,0.004418876022100449,-1.1920928955078125e-07,0.017328305169939995,-0.05327921360731125,0.000371043395716697,1.3817479610443115,248,0.0004833984130527824,4180080,177.87,1.29,,,,,
2.0000391006469727,500,0.006506067700684071,0.0,0.01738172024488449,-0.04748772829771042,0.0003794842050410807,1.3831815719604492,256,0.0,4220000,184.7,1.42,,,,,
2.0000863075256348,1000,0.09076610952615738,0.0,0.017297452315688133,0.06665299832820892,0.0003576708259060979,1.384002685546875,255,0.0,4260000,178.6,1.3,,,,,
,,,,,,,,,,,,,401,1.1920928955078125e-07,4280080,177.41,1.25
2.0,1,3.4243807021994144e-05,0.0,0.017352448776364326,-0.0073625473305583,0.00045085736201144755,1.3849048614501953,279,0.0004833984130527824,4290080,181.04,1.33,,,,,
2.000098705291748,500,0.04812752082943916,0.0,0.017334388568997383,0.06540129333734512,0.0004541090747807175,1.382502794265747,280,0.0004833984130527824,4330000,174.53,1.19,,,,,
2.0,1000,0.08630494773387909,0.0,0.017472628504037857,0.09203125536441803,0.0004063347296323627,1.382378101348877,277,0.0,4370000,180.61,1.3,,,,,
,,,,,,,,,,,,,433,0.0,4390080,169.19,1.09
2.0,1,0.019604524597525597,0.0,0.0174163356423378,-0.029276465997099876,0.00039899558760225773,1.3851292133331299,262,0.0,4400080,175.45,1.2,,,,,
2.0000085830688477,500,0.060920678079128265,0.0,0.01749524660408497,0.06306233257055283,0.00036082573933526874,1.374915361404419,277,0.0,4440000,177.02,1.25,,,,,
2.0,1000,0.001025054370984435,-1.1920928955078125e-07,0.01738988608121872,-0.021243294700980186,0.000365179730579257,1.3844184875488281,276,0.0,4480000,177.43,1.31,,,,,
,,,,,,,,,,,,,465,8.940696716308594e-06,4500080,175.04,1.25
