value_loss,explained_variance,reconstruct_loss,contrastive_loss,atten_decoder_loss,total_timesteps,policy_loss,fps,atten_encoder_loss,policy_entropy,nupdates,ep_len_mean,ep_reward_mean,total_timesteps_eval,fps_eval,explained_variance_eval,ep_reward_mean_eval,ep_len_mean_eval
0.006964252330362797,-0.0056226253509521484,0.017271144315600395,1.9950003623962402,0.019341465085744858,21860000,-0.04581305384635925,281,6.492244574474171e-05,1.3845393657684326,1000,177.16,1.31,,,,,
,,,,,,,,,,,,,21880080,495,-0.007435321807861328,1.49,187.03
0.0013553968165069818,-0.0022276639938354492,0.01744820550084114,1.9943983554840088,0.017336104065179825,21890080,-0.01751863583922386,299,0.0001612261839909479,1.3842235803604126,1,178.03,1.32,,,,,
0.08876706659793854,0.0009588003158569336,0.017354875802993774,1.9978710412979126,0.01727801188826561,21930000,0.07689887285232544,282,6.414561357814819e-05,1.3834118843078613,500,174.56,1.2,,,,,
0.0023852225858718157,-0.004059910774230957,0.017407553270459175,1.9945027828216553,0.017778467386960983,21970000,-0.0220858883112669,282,2.839058834069874e-05,1.3809406757354736,1000,200.63,1.94,,,,,
,,,,,,,,,,,,,21990080,400,0.0012823939323425293,1.42,184.4
0.02557871676981449,0.0007189512252807617,0.017323873937129974,1.9954464435577393,0.015783237293362617,22000080,0.016443287953734398,276,6.448110070778057e-05,1.3833601474761963,1,186.88,1.54,,,,,
0.016166968271136284,-0.013267159461975098,0.01737056113779545,1.9968538284301758,0.017783500254154205,22040000,-0.09770847111940384,277,0.00011872825416503474,1.3840854167938232,500,181.32,1.32,,,,,
0.008571432903409004,-0.017566323280334473,0.01752108335494995,1.99794602394104,0.018276166170835495,22080000,-0.06508217751979828,277,0.0,1.385044813156128,1000,193.95,1.7,,,,,
,,,,,,,,,,,,,22100080,451,0.0008473992347717285,1.09,171.62
0.004762864671647549,-0.011364340782165527,0.017381576821208,1.9995304346084595,0.01780044659972191,22110080,-0.03860523924231529,246,3.79153570975177e-05,1.3832361698150635,1,184.66,1.43,,,,,
0.0023433035239577293,-0.00915372371673584,0.01740395464003086,1.9977138042449951,0.022874344140291214,22150000,-0.02170579694211483,275,0.00014784651284571737,1.38460111618042,500,190.23,1.61,,,,,
0.016332639381289482,-0.000605463981628418,0.01723201759159565,1.9904582500457764,0.01680665649473667,22190000,-0.011694381944835186,274,8.541344868717715e-05,1.3793976306915283,1000,189.85,1.57,,,,,
,,,,,,,,,,,,,22210080,471,0.000583350658416748,1.33,179.34
0.024144340306520462,0.0004445314407348633,0.017082978039979935,1.992384910583496,0.015747908502817154,22220080,0.01863194815814495,300,2.4833059796947055e-05,1.3809759616851807,1,191.36,1.66,,,,,
0.005955848377197981,-0.004010915756225586,0.017366373911499977,1.9939762353897095,0.01879047229886055,22260000,-0.04424745589494705,275,3.665323674795218e-05,1.3827241659164429,500,187.24,1.47,,,,,
0.015720894560217857,-0.011957764625549316,0.017402786761522293,1.9946128129959106,0.02037474885582924,22300000,-0.09114620834589005,274,0.00010831428517121822,1.385377049446106,1000,182.83,1.45,,,,,
,,,,,,,,,,,,,22320080,406,-0.00672149658203125,1.28,176.83
0.0012417242396622896,-0.005837917327880859,0.017443468794226646,1.9976273775100708,0.018853044137358665,22330080,-0.01663532294332981,304,6.975253199925646e-05,1.3861602544784546,1,178.39,1.22,,,,,
0.026350881904363632,0.0007971525192260742,0.017355063930153847,1.9925397634506226,0.018345864489674568,22370000,0.013003912754356861,277,7.74792570155114e-05,1.3858585357666016,500,174.19,1.16,,,,,
0.002481724601238966,-0.004610538482666016,0.017293665558099747,1.9925895929336548,0.02034519985318184,22410000,-0.025056755170226097,274,0.00012504553887993097,1.3820161819458008,1000,184.54,1.44,,,,,
,,,,,,,,,,,,,22430080,403,-0.01119089126586914,1.21,176.46
0.09815908968448639,0.0009347796440124512,0.01702895760536194,1.9852879047393799,0.016283167526125908,22440080,0.11488936096429825,284,9.621070785215124e-05,1.3845834732055664,1,188.73,1.49,,,,,
0.02541241981089115,0.0015075206756591797,0.01724911481142044,1.9889211654663086,0.018329573795199394,22480000,0.017779404297471046,268,1.863189936557319e-05,1.3837251663208008,500,191.76,1.59,,,,,
0.005516429431736469,-0.0044509172439575195,0.017355406656861305,1.9872158765792847,0.01679849624633789,22520000,-0.047230906784534454,264,8.261358743766323e-05,1.3797662258148193,1000,174.55,1.23,,,,,
,,,,,,,,,,,,,22540080,346,-0.027673959732055664,1.21,177.9
0.013062824495136738,0.00023800134658813477,0.01717924140393734,1.9842724800109863,0.019260691478848457,22550080,0.005165319889783859,251,0.00022227515000849962,1.384714126586914,1,184.85,1.39,,,,,
0.001186420558951795,-0.007179141044616699,0.017466919496655464,2.0011658668518066,0.0182061605155468,22590000,-0.016445240005850792,260,0.00011113126674899831,1.3835585117340088,500,176.69,1.21,,,,,
0.009047195315361023,-0.0025025606155395508,0.017330646514892578,1.9902070760726929,0.017672231420874596,22630000,-0.06927762925624847,260,0.0001439182524336502,1.384476900100708,1000,182.98,1.41,,,,,
,,,,,,,,,,,,,22650080,432,0.0010924935340881348,1.33,182.03
