fps,policy_entropy,value_loss,atten_encoder_loss,reconstruct_loss,nupdates,total_timesteps,policy_loss,contrastive_loss,atten_decoder_loss,explained_variance,ep_len_mean,ep_reward_mean,fps_eval,total_timesteps_eval,explained_variance_eval,ep_reward_mean_eval,ep_len_mean_eval
288,1.3837865591049194,0.0012904098257422447,2.497864443284925e-05,0.017486467957496643,1,3740080,-0.01910773478448391,1.999895691871643,0.03497036546468735,-0.012854337692260742,180.11,1.38,,,,,
266,1.3858745098114014,0.08468696475028992,4.882811936113285e-06,0.01740368828177452,500,3780000,0.11671753972768784,1.9991536140441895,0.033259522169828415,0.00015550851821899414,189.1,1.53,,,,,
245,1.3855822086334229,0.061741046607494354,8.783741213846952e-05,0.017559191212058067,1000,3820000,-0.0035155192017555237,1.999111294746399,0.027131829410791397,6.109476089477539e-05,179.13,1.32,,,,,
,,,,,,,,,,,,,351,3840080,-0.0007865428924560547,1.67,195.33
253,1.3861157894134521,0.06209801882505417,9.76723968051374e-05,0.01735534891486168,1,3850080,0.05936788395047188,1.9946849346160889,0.03211299329996109,0.0007302165031433105,184.62,1.4,,,,,
221,1.3844813108444214,0.009168562479317188,9.765625691215973e-06,0.017358755692839622,500,3890000,-0.06443359702825546,1.9971883296966553,0.03245379775762558,-0.00371551513671875,173.97,1.18,,,,,
232,1.3850082159042358,0.06038789823651314,8.791449363343418e-05,0.017357008531689644,1000,3930000,0.0731608122587204,1.9957225322723389,0.028227373957633972,0.0010816454887390137,188.39,1.51,,,,,
,,,,,,,,,,,,,352,3950080,0.0005455613136291504,1.49,185.7
240,1.3832218647003174,0.049422215670347214,0.00012002611038042232,0.017322586849331856,1,3960080,0.04822762683033943,2.000215530395508,0.029421601444482803,0.0012686848640441895,165.06,0.98,,,,,
234,1.3844573497772217,0.002928041387349367,0.00016899305046536028,0.017582980915904045,500,4000000,-0.026611417531967163,1.9988616704940796,0.02938581444323063,-0.0035920143127441406,178.72,1.34,,,,,
226,1.3862712383270264,0.01443896908313036,0.00015960568271111697,0.017322279512882233,1000,4040000,-0.009083660319447517,1.9984489679336548,0.027046894654631615,-0.0015219449996948242,175.91,1.26,,,,,
,,,,,,,,,,,,,473,4060080,-0.003123641014099121,1.73,196.02
228,1.3858455419540405,0.0520097091794014,7.625004946021363e-05,0.017418362200260162,1,4070080,0.027299921959638596,1.9970269203186035,0.028880301862955093,0.001179039478302002,185.72,1.46,,,,,
257,1.3841999769210815,0.0011409323196858168,3.8328511436702684e-05,0.0171903595328331,500,4110000,-0.019438233226537704,1.9973657131195068,0.0320841409265995,-0.019039034843444824,182.9,1.44,,,,,
242,1.385894536972046,0.12763498723506927,6.992431735852733e-05,0.017411518841981888,1000,4150000,0.10419454425573349,1.9957661628723145,0.027777474373579025,0.0015085935592651367,183.64,1.41,,,,,
,,,,,,,,,,,,,357,4170080,0.0007622838020324707,1.38,182.51
255,1.3847520351409912,0.0006669783615507185,7.301580626517534e-05,0.017435971647500992,1,4180080,-0.012126016430556774,1.998072624206543,0.03540230542421341,-0.005363106727600098,168.19,1.05,,,,,
206,1.3843854665756226,0.0033683492802083492,4.564804839901626e-05,0.017295794561505318,500,4220000,-0.027888745069503784,1.9991168975830078,0.031811948865652084,-0.01318347454071045,185.93,1.44,,,,,
219,1.3824207782745361,0.004362958483397961,6.72686510370113e-05,0.017499499022960663,1000,4260000,-0.04812828451395035,1.9991333484649658,0.034343868494033813,-0.015079617500305176,189.8,1.62,,,,,
,,,,,,,,,,,,,348,4280080,-0.00599980354309082,1.28,179.41
188,1.3833532333374023,0.0027027910109609365,4.9337013479089364e-05,0.017416268587112427,1,4290080,-0.031805846840143204,1.9977691173553467,0.039887435734272,-0.010640621185302734,183.53,1.37,,,,,
238,1.3843008279800415,0.0026155044324696064,0.0002449787862133235,0.01744943857192993,500,4330000,-0.025852221995592117,1.9987629652023315,0.03386986255645752,-0.014862895011901855,179.94,1.3,,,,,
239,1.3852713108062744,0.014265689067542553,4.882811936113285e-06,0.017147820442914963,1000,4370000,-0.010069070383906364,1.9977257251739502,0.03165465220808983,-0.00047469139099121094,179.32,1.24,,,,,
,,,,,,,,,,,,,460,4390080,-0.004716753959655762,1.38,182.38
255,1.3846263885498047,0.0060793450102210045,0.00012113367120036855,0.017301363870501518,1,4400080,-0.042888522148132324,1.9970855712890625,0.03041554056107998,-0.010594844818115234,171.64,1.14,,,,,
234,1.3848950862884521,0.0022204513661563396,4.089790672878735e-05,0.017064817249774933,500,4440000,-0.021505648270249367,1.99576997756958,0.033554501831531525,-0.0050487518310546875,168.17,1.01,,,,,
